PC2,PC3
-71.73,-73.71
-71.01,-75.66
-70.01,-75.94
-72.07,-74.59
-76.19,-74.84
-76.68,-74.06
-77.42,-74.4
-79.61,-75.48
-79.63,-74.91
-78.78,-72.51
-78.12,-73.97
-79.69,-82.46
-77.51,-76.52
-72.66,-77.08
-76.93,-79.88
-77.08,-79.61
-80.52,-78.39
-76.91,-80.61
-76.08,-78.17
-73.81,-74.69
-75.52,-76.27
-77.66,-75.84
-75.45,-73.79
-75.33,-71.68
-75.85,-76.63
-73.77,-70.75
-74.62,-68.85
-78.04,-70.94
-83.75,-76.19
-81.06,-80.03
-80.86,-75.85
-81.63,-76.93
-79.62,-78.49
-78.78,-80.46
-80.64,-77.6
-79.24,-78.69
-79.2,-81.37
-80.17,-81.7
-78.95,-82.7
-78.22,-81.95
-75.97,-81.23
-76.56,-80.45
-76.9,-78.6
-76.0,-78.34
-76.91,-78.12
-76.83,-78.27
-75.4,-78.36
-74.92,-79.24
-74.87,-79.39
-76.37,-77.93
-77.81,-77.79
-77.77,-76.96
-77.53,-75.8
-79.35,-76.47
-78.17,-75.56
-76.5,-74.68
-77.12,-73.08
-79.15,-73.85
-75.62,-75.01
-74.29,-73.68
-75.26,-79.26
-77.78,-82.28
-80.79,-82.99
-79.85,-83.02
-80.56,-82.62
-83.9,-86.72
-81.74,-82.73
-79.57,-85.37
-81.86,-87.2
-83.94,-87.62
-85.68,-87.93
-81.94,-84.47
-79.01,-83.84
-78.09,-83.75
-76.1,-82.69
-78.9,-83.03
-78.5,-84.02
-78.13,-85.29
-78.95,-86.34
-78.24,-86.1
-87.32,-84.98
-83.0,-84.38
-77.97,-88.25
-81.8,-86.65
-82.77,-86.43
-80.93,-86.88
-80.45,-87.25
-81.4,-84.98
-79.47,-83.18
-79.22,-84.4
-77.71,-86.52
-77.99,-86.9
-78.4,-86.99
-80.14,-82.1
-79.95,-83.99
-81.67,-83.3
-82.93,-82.54
-82.58,-85.48
-82.97,-87.27
-82.32,-85.36
-84.14,-84.35
-84.21,-88.91
-83.72,-85.34
-87.31,-83.66
-86.72,-84.52
-83.0,-84.37
-83.87,-85.39
-83.16,-85.84
-82.07,-86.7
-81.32,-87.11
-83.44,-87.4
-81.59,-85.36
-84.37,-83.7
-82.77,-85.04
-80.83,-85.08
-79.85,-84.74
-79.2,-83.74
-77.29,-84.58
-81.42,-86.81
-81.76,-82.77
-76.18,-79.87
-74.98,-79.14
-75.1,-80.46
-77.69,-81.3
-78.34,-80.7
-76.99,-79.22
-75.2,-78.61
-75.59,-79.34
-76.03,-81.61
-80.75,-88.05
-86.23,-88.68
-89.69,-92.11
-90.44,-93.02
-91.1,-89.58
-87.92,-90.08
-89.02,-89.78
-88.92,-92.79
-91.33,-94.33
-93.77,-93.9
-94.87,-97.52
-95.79,-97.33
-95.64,-95.63
-95.32,-96.45
-95.03,-97.29
-96.89,-98.09
-96.43,-97.59
-96.8,-98.26
-98.12,-101.97
-100.38,-101.03
-103.07,-99.04
-102.29,-99.99
-102.06,-103.15
-99.66,-103.27
-99.67,-99.21
-101.0,-99.04
-104.39,-99.7
-104.46,-101.97
-103.63,-100.83
-102.0,-101.12
-104.49,-99.29
-106.08,-101.48
-106.38,-104.38
-105.52,-106.47
-104.62,-107.85
-104.74,-106.32
-104.22,-105.43
-106.59,-103.43
-108.1,-102.86
-105.4,-101.26
-108.37,-104.98
-107.89,-105.18
-108.32,-104.43
-109.83,-102.5
-104.96,-102.11
-104.43,-104.12
-106.59,-108.01
-107.76,-107.97
-109.31,-109.53
-107.17,-104.08
-101.89,-101.56
-103.33,-105.03
-109.45,-111.68
-119.19,-127.79
-111.89,-143.83
-117.54,-110.57
-121.73,-116.38
-116.29,-113.79
-122.5,
