IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599833,40.8175867,2026-01-25 00:40:29.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9597250,40.8175700,2026-01-25 00:40:30.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-91.000000,0.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9597167,40.8175700,2026-01-25 00:40:31.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,-1.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9596983,40.8175667,2026-01-25 00:40:32.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,0.000000,,,,,,,,,,,,,,,,,
5,1,,,-73.9596883,40.8175633,2026-01-25 00:40:34.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,0.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9596783,40.8175617,2026-01-25 00:40:35.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,0.000000,,,,,,,,,,,,,,,,,
7,1,,,-73.9596683,40.8175600,2026-01-25 00:40:36.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,1.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9596617,40.8175567,2026-01-25 00:40:37.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,2.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9596450,40.8175533,2026-01-25 00:40:39.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9596367,40.8175533,2026-01-25 00:40:40.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,4.000000,,,,,,,,,,,,,,,,,
11,1,,,-73.9596250,40.8175517,2026-01-25 00:40:41.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
12,1,,,-73.9596217,40.8175517,2026-01-25 00:40:43.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
13,1,,,-73.9596200,40.8175500,2026-01-25 00:40:44.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
14,1,,,-73.9596150,40.8175467,2026-01-25 00:40:45.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
15,1,,,-73.9596133,40.8175467,2026-01-25 00:40:46.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
16,1,,,-73.9596167,40.8175483,2026-01-25 00:40:48.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
17,1,,,-73.9596150,40.8175500,2026-01-25 00:40:49.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-91.000000,2.000000,,,,,,,,,,,,,,,,,
18,1,,,-73.9596183,40.8175517,2026-01-25 00:40:50.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,2.000000,,,,,,,,,,,,,,,,,
19,1,,,-73.9596217,40.8175533,2026-01-25 00:40:51.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,2.000000,,,,,,,,,,,,,,,,,
20,1,,,-73.9596233,40.8175533,2026-01-25 00:40:53.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,2.000000,,,,,,,,,,,,,,,,,
21,1,,,-73.9596283,40.8175533,2026-01-25 00:40:54.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-91.000000,2.000000,,,,,,,,,,,,,,,,,
22,1,,,-73.9596417,40.8175517,2026-01-25 00:40:55.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,1.000000,,,,,,,,,,,,,,,,,
23,1,,,-73.9596717,40.8175533,2026-01-25 00:40:57.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,1.000000,,,,,,,,,,,,,,,,,
24,1,,,-73.9596817,40.8175567,2026-01-25 00:40:58.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,1.000000,,,,,,,,,,,,,,,,,
25,1,,,-73.9596883,40.8175583,2026-01-25 00:40:59.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-91.000000,1.000000,,,,,,,,,,,,,,,,,
26,1,,,-73.9596883,40.8175583,2026-01-25 00:41:00.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-92.000000,0.000000,,,,,,,,,,,,,,,,,
27,1,,,-73.9597083,40.8175650,2026-01-25 00:41:01.000,_20260124_194023_CH01_REF_TMO-AUTO_Playstore 100MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
