IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263283,40.7601833,2026-01-22 21:48:21.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263233,40.7601867,2026-01-22 21:48:22.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(x),,429,-75.620000,17.250000,,,,,,,,,,,,,,,,,
3,1,,,-73.9263233,40.7601883,2026-01-22 21:48:23.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-76.000000,17.000000,,,,,,,,,,,,,0.016,,,,
4,1,,,-73.9263200,40.7601900,2026-01-22 21:48:24.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-76.570000,17.430000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9263200,40.7601917,2026-01-22 21:48:25.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.000000,16.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9263183,40.7601917,2026-01-22 21:48:26.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-77.000000,16.640000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9263167,40.7601933,2026-01-22 21:48:27.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-76.450000,18.820000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9263167,40.7601933,2026-01-22 21:48:28.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(40),,,,,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9263200,40.7601917,2026-01-22 21:48:29.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-76.430000,17.860000,,,,,,,,,,,,,,,,,
10,1,,,-73.9263200,40.7601933,2026-01-22 21:48:30.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-77.000000,17.860000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9263200,40.7601933,2026-01-22 21:48:31.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.670000,18.580000,,,,,,,,,,,,,0.000,,,,
12,1,,,-73.9263200,40.7601933,2026-01-22 21:48:32.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(x),NR SA,429,-78.000000,18.730000,,,,,,,,,,,,,0.000,,,,
13,1,,,-73.9263200,40.7601933,2026-01-22 21:48:33.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-78.080000,19.520000,,,,,,,,,,,,,0.304,,,,
14,1,,,-73.9263200,40.7601933,2026-01-22 21:48:34.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.920000,18.450000,,,,,,,,,,,,,1.032,,,,
15,1,,,-73.9263200,40.7601933,2026-01-22 21:48:35.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.500000,18.300000,,,,,,,,,,,,,2.216,,,,
16,1,,,-73.9263200,40.7601933,2026-01-22 21:48:36.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.300000,21.550000,,,,,,,,,,,,,2.280,,,,
17,1,,,-73.9263200,40.7601933,2026-01-22 21:48:37.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.260000,21.170000,,,,,,,,,,,,,,,,,
18,1,,,-73.9263200,40.7601933,2026-01-22 21:48:38.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.000000,21.000000,,,,,,,,,,,,,0.968,,,,
19,1,,,-73.9263200,40.7601933,2026-01-22 21:48:39.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100),NR SA,429,-75.000000,20.000000,,,,,,,,,,,,,0.000,,,,
20,1,,,-73.9263200,40.7601933,2026-01-22 21:48:40.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.250000,20.880000,,,,,,,,,,,,,0.000,,,,
21,1,,,-73.9263200,40.7601933,2026-01-22 21:48:41.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.000000,20.180000,,,,,,,,,,,,,0.136,,,,
22,1,,,-73.9263200,40.7601933,2026-01-22 21:48:42.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.170000,20.330000,,,,,,,,,,,,,0.008,,,,
23,1,,,-73.9263200,40.7601933,2026-01-22 21:48:43.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-73.000000,21.500000,,,,,,,,,,,,,,,,,
24,1,,,-73.9263200,40.7601933,2026-01-22 21:48:44.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.280000,20.110000,,,,,,,,,,,,,0.052,,,,
25,1,,,-73.9263200,40.7601933,2026-01-22 21:48:45.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-74.700000,20.300000,,,,,,,,,,,,,,,,,
26,1,,,-73.9263200,40.7601933,2026-01-22 21:48:46.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.830000,20.830000,,,,,,,,,,,,,0.008,,,,
27,1,,,-73.9263200,40.7601933,2026-01-22 21:48:47.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.170000,19.330000,,,,,,,,,,,,,0.008,,,,
28,1,,,-73.9263200,40.7601933,2026-01-22 21:48:48.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.860000,20.430000,,,,,,,,,,,,,0.000,,,,
29,1,,,-73.9263200,40.7601933,2026-01-22 21:48:49.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.000000,20.000000,,,,,,,,,,,,,0.000,,,,
30,1,,,-73.9263200,40.7601933,2026-01-22 21:48:50.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.500000,21.250000,,,,,,,,,,,,,,,,,
31,1,,,-73.9263200,40.7601933,2026-01-22 21:48:51.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-77.000000,19.670000,,,,,,,,,,,,,0.000,,,,
32,1,,,-73.9263200,40.7601933,2026-01-22 21:48:52.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.000000,19.000000,,,,,,,,,,,,,0.000,,,,
33,1,,,-73.9263200,40.7601933,2026-01-22 21:48:53.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.730000,19.970000,,,,,,,,,,,,,0.024,,,,
34,1,,,-73.9263200,40.7601933,2026-01-22 21:48:54.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(40),NR SA,,,,,,,,,,,,,,,,,,,,
35,1,,,-73.9263200,40.7601933,2026-01-22 21:48:55.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-75.250000,21.000000,,,,,,,,,,,,,0.072,,,,
36,1,,,-73.9263200,40.7601933,2026-01-22 21:48:56.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.250000,19.250000,,,,,,,,,,,,,,,,,
37,1,,,-73.9263200,40.7601933,2026-01-22 21:48:57.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.000000,20.330000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9263200,40.7601933,2026-01-22 21:48:58.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.000000,20.220000,,,,,,,,,,,,,0.000,,,,
39,1,,,-73.9263200,40.7601933,2026-01-22 21:48:59.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.090000,20.360000,,,,,,,,,,,,,0.208,,,,
40,1,,,-73.9263200,40.7601933,2026-01-22 21:49:00.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-77.500000,20.500000,,,,,,,,,,,,,0.000,,,,
41,1,,,-73.9263200,40.7601933,2026-01-22 21:49:01.000,_20260122_164816_CH02_DUT_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.860000,22.140000,,,,,,,,,,,,,0.000,,,,
