IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
1,1,,,-121.9331797,47.5260307,2026-01-27 02:19:53.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connected,-59.000000,,,,,,IWLAN
2,1,,,-121.9331797,47.5260307,2026-01-27 02:19:54.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-59.000000,2437,25,,,,IWLAN
3,1,,,-121.9331797,47.5260307,2026-01-27 02:19:55.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-59.000000,2437,25,,,,IWLAN
4,1,,,-121.9331797,47.5260307,2026-01-27 02:19:56.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-59.000000,2437,25,,,,IWLAN
5,1,,,-121.9331797,47.5260307,2026-01-27 02:19:57.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-59.000000,2437,25,,,,IWLAN
6,1,,,-121.9331797,47.5260307,2026-01-27 02:19:58.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-59.000000,2437,25,,,,IWLAN
7,1,,,-121.9314830,47.5244923,2026-01-27 02:19:59.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-59.000000,2437,25,,,,IWLAN
8,1,,,-121.9331343,47.5259866,2026-01-27 02:20:00.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-59.000000,2437,25,,,,IWLAN
9,1,,,-121.9331343,47.5259866,2026-01-27 02:20:01.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-59.000000,2437,25,,,,IWLAN
10,1,,,-121.9331343,47.5259866,2026-01-27 02:20:02.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-59.000000,2437,25,,,,IWLAN
11,1,,,-121.9331343,47.5259866,2026-01-27 02:20:02.671,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,,,,,,,,,,,,,
12,1,,,-121.9331343,47.5259866,2026-01-27 02:20:02.671,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,,,,,,,,,,,,,
13,1,,,-121.9331343,47.5259866,2026-01-27 02:20:02.497,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,,,,,,,,,,,,,
14,1,,,-121.9331343,47.5259866,2026-01-27 02:20:03.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-57.000000,2437,25,,,,IWLAN
15,1,,,-121.9331343,47.5259866,2026-01-27 02:20:04.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-57.000000,2437,25,,,,IWLAN
16,1,,,-121.9331343,47.5259866,2026-01-27 02:20:05.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-57.000000,2437,25,,,,IWLAN
17,1,,,-121.9331343,47.5259866,2026-01-27 02:20:05.878,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,,,,,,,,,,,,,
18,1,,,-121.9331343,47.5259866,2026-01-27 02:20:06.000,_20260126_181949_CH01_TMO_5GNR_WFC_DUT_TC-172-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-59.000000,2437,34,,,,IWLAN
